filename,Bicubic_PSNR,Bicubic_MSE,Bicubic_SSIM,SRCNN_PSNR,SRCNN_MSE,SRCNN_SSIM
agricultural_0008_patch00206.png,17.8166,1075.0288,0.4498,22.5069,365.0813,0.8367
agricultural_0008_patch00207.png,17.8079,1077.175,0.4496,22.5584,360.7818,0.8383
agricultural_0008_patch00208.png,17.6719,1111.4462,0.4527,22.4943,366.1458,0.8423
agricultural_0008_patch00209.png,17.6682,1112.3917,0.4621,22.6097,356.5402,0.8519
agricultural_0008_patch00210.png,17.8783,1059.8661,0.4425,22.8441,337.8116,0.8453
agricultural_0008_patch00211.png,17.9096,1052.265,0.4386,22.8323,338.7297,0.8401
agricultural_0008_patch00212.png,17.8599,1064.3671,0.4412,22.7325,346.5991,0.8418
agricultural_0008_patch00213.png,17.7415,1093.7762,0.4397,22.6598,352.4513,0.8437
agricultural_0008_patch00214.png,17.7441,1093.1377,0.4484,22.6196,355.7293,0.8434
agricultural_0008_patch00215.png,18.0377,1021.6611,0.4481,23.0814,319.8462,0.8502
agricultural_0008_patch00216.png,18.063,1015.7399,0.4487,23.1334,316.0359,0.8504
agricultural_0008_patch00217.png,17.9691,1037.9335,0.4511,23.0554,321.7647,0.8536
agricultural_0008_patch00218.png,17.9693,1037.8909,0.4459,23.0127,324.9463,0.8508
agricultural_0008_patch00219.png,18.0413,1020.812,0.4484,22.8993,333.5412,0.8408
agricultural_0008_patch00220.png,18.2181,980.0974,0.4512,23.2621,306.813,0.8517
agricultural_0008_patch00221.png,18.1869,987.1761,0.4544,23.1515,314.7228,0.8514
agricultural_0008_patch00222.png,18.2038,983.3339,0.4603,23.1907,311.8988,0.8537
agricultural_0008_patch00223.png,18.2888,964.2643,0.4554,23.1623,313.9441,0.8462
agricultural_0008_patch00224.png,18.3035,961.0078,0.4503,22.9471,329.892,0.8363
agricultural_0009_patch00225.png,16.9292,1318.7535,0.4536,21.95,415.0297,0.8591
agricultural_0009_patch00226.png,16.875,1335.302,0.4513,21.9528,414.7586,0.8585
agricultural_0009_patch00227.png,16.7151,1385.3934,0.4475,21.6388,445.858,0.8482
agricultural_0009_patch00228.png,16.7722,1367.2831,0.4488,21.687,440.946,0.8475
agricultural_0009_patch00229.png,16.8333,1348.1992,0.4561,21.6058,449.2576,0.8432
agricultural_0009_patch00230.png,16.8901,1330.6578,0.4559,22.0207,408.3315,0.8631
agricultural_0009_patch00231.png,16.8793,1333.9797,0.4473,22.0315,407.3106,0.8584
agricultural_0009_patch00232.png,16.6863,1394.6125,0.4388,21.6149,448.3248,0.8461
agricultural_0009_patch00233.png,16.8042,1357.2521,0.4428,21.7065,438.968,0.8443
agricultural_0009_patch00234.png,16.7573,1371.9805,0.4466,21.4771,462.7773,0.8391
agricultural_0009_patch00235.png,16.9637,1308.3145,0.4558,21.9634,413.7525,0.8584
agricultural_0009_patch00236.png,16.9075,1325.3403,0.4489,21.8499,424.7104,0.8507
agricultural_0009_patch00237.png,16.7754,1366.27,0.4389,21.7092,438.6884,0.8448
agricultural_0009_patch00238.png,16.7964,1359.692,0.436,21.6064,449.1994,0.8371
agricultural_0009_patch00239.png,16.7424,1376.7024,0.4383,21.5038,459.9435,0.8367
agricultural_0009_patch00240.png,16.8936,1329.5863,0.4557,21.8897,420.8352,0.8563
agricultural_0009_patch00241.png,16.8014,1358.1278,0.45,21.6747,442.1938,0.8464
agricultural_0009_patch00242.png,16.7855,1363.1191,0.4377,21.6765,442.0049,0.842
agricultural_0009_patch00243.png,16.7405,1377.3004,0.4343,21.5509,454.9826,0.8361
agricultural_0009_patch00244.png,16.6872,1394.3031,0.4357,21.5007,460.2702,0.8405
agricultural_0009_patch00245.png,16.8162,1353.4989,0.4557,21.7696,432.6326,0.8517
agricultural_0009_patch00246.png,16.6976,1390.9685,0.4503,21.5516,454.9074,0.8441
agricultural_0009_patch00247.png,16.7406,1377.2806,0.4421,21.5765,452.305,0.8394
agricultural_0009_patch00248.png,16.6975,1390.9952,0.4395,21.5284,457.3392,0.838
agricultural_0009_patch00249.png,16.6623,1402.3165,0.4424,21.529,457.2778,0.8437
agricultural_0010_patch00250.png,29.1173,79.6803,0.9349,28.3645,94.7617,0.9233
agricultural_0010_patch00251.png,28.9617,82.5874,0.9363,28.2307,97.7267,0.925
agricultural_0010_patch00252.png,29.2454,77.3638,0.9401,28.4498,92.9192,0.9284
agricultural_0010_patch00253.png,29.5106,72.7822,0.9437,28.6221,89.3042,0.9316
agricultural_0010_patch00254.png,29.8839,66.787,0.9465,28.9324,83.1452,0.9346
agricultural_0010_patch00255.png,30.184,62.327,0.9393,29.2132,77.9399,0.9257
agricultural_0010_patch00256.png,30.582,56.8699,0.9477,29.4292,74.1588,0.934
agricultural_0010_patch00257.png,30.7767,54.3765,0.9536,29.4159,74.3867,0.9389
agricultural_0010_patch00258.png,30.7259,55.0157,0.9545,29.2646,77.0224,0.9394
agricultural_0010_patch00259.png,30.7065,55.2624,0.9529,29.2075,78.0429,0.9378
agricultural_0010_patch00260.png,29.2562,77.1714,0.9268,28.5727,90.3253,0.9146
agricultural_0010_patch00261.png,29.6638,70.2582,0.9376,28.7689,86.3364,0.9241
agricultural_0010_patch00262.png,29.9925,65.1369,0.9479,28.7858,86.0004,0.9319
agricultural_0010_patch00263.png,30.2172,61.8534,0.9534,28.7472,86.7691,0.9363
agricultural_0010_patch00264.png,30.414,59.1123,0.9542,28.7695,86.3247,0.9366
agricultural_0010_patch00265.png,29.0678,80.5937,0.9161,28.1919,98.602,0.904
agricultural_0010_patch00266.png,29.6762,70.0584,0.9311,28.608,89.5949,0.9185
agricultural_0010_patch00267.png,29.9913,65.155,0.9432,28.7088,87.5395,0.9287
agricultural_0010_patch00268.png,30.0469,64.3272,0.9514,28.5995,89.7693,0.9361
agricultural_0010_patch00269.png,30.1105,63.3919,0.9547,28.6425,88.8858,0.9395
agricultural_0010_patch00270.png,28.8673,84.4017,0.9173,28.3008,96.1609,0.9074
agricultural_0010_patch00271.png,29.5608,71.9444,0.929,28.8984,83.8,0.9187
agricultural_0010_patch00272.png,30.0171,64.7698,0.9408,29.0741,80.4766,0.928
agricultural_0010_patch00273.png,30.3518,59.9659,0.9506,29.1572,78.9518,0.9362
agricultural_0010_patch00274.png,30.1779,62.4151,0.9524,28.892,83.9222,0.9374
agricultural_0011_patch00275.png,27.8211,107.392,0.4372,29.501,72.942,0.5335
agricultural_0011_patch00276.png,27.5894,113.2774,0.4116,29.2462,77.3506,0.507
agricultural_0011_patch00277.png,27.6174,112.5475,0.4244,29.1757,78.6154,0.5124
agricultural_0011_patch00278.png,27.8476,106.7381,0.442,29.325,75.9584,0.532
agricultural_0011_patch00279.png,27.8723,106.133,0.4404,29.3325,75.8288,0.5333
agricultural_0011_patch00280.png,27.6764,111.0295,0.4227,29.3702,75.1725,0.5229
agricultural_0011_patch00281.png,27.4613,116.668,0.4074,29.1108,79.7988,0.5051
agricultural_0011_patch00282.png,27.745,109.291,0.432,29.3488,75.5434,0.5257
agricultural_0011_patch00283.png,27.8982,105.5018,0.4427,29.4183,74.3452,0.5381
agricultural_0011_patch00284.png,27.8744,106.0819,0.441,29.3051,76.3083,0.5332
agricultural_0011_patch00285.png,27.6213,112.4483,0.418,29.2985,76.4248,0.5183
agricultural_0011_patch00286.png,27.3916,118.5539,0.4093,29.0343,81.2175,0.5061
agricultural_0011_patch00287.png,27.7656,108.7733,0.4316,29.4058,74.5582,0.528
agricultural_0011_patch00288.png,27.7603,108.9047,0.4294,29.2884,76.6019,0.5249
agricultural_0011_patch00289.png,27.73,109.6689,0.4365,29.1703,78.7138,0.5237
agricultural_0011_patch00290.png,27.6152,112.605,0.4263,29.2605,77.0953,0.5216
agricultural_0011_patch00291.png,27.59,113.2623,0.4264,29.221,77.8,0.5217
agricultural_0011_patch00292.png,27.8772,106.0141,0.436,29.5184,72.6513,0.533
agricultural_0011_patch00293.png,27.7979,107.9672,0.4343,29.3529,75.4735,0.5283
agricultural_0011_patch00294.png,27.7254,109.7854,0.4401,29.2306,77.6289,0.5277
agricultural_0011_patch00295.png,27.7064,110.2656,0.4363,29.3465,75.5833,0.5277
agricultural_0011_patch00296.png,27.882,105.8955,0.4407,29.5669,71.8438,0.5372
agricultural_0011_patch00297.png,27.8266,107.2566,0.429,29.4446,73.8967,0.526
agricultural_0011_patch00298.png,27.7204,109.9114,0.4402,29.1775,78.5839,0.5285
agricultural_0011_patch00299.png,27.5947,113.1372,0.4423,29.0124,81.6282,0.5259
agricultural_0012_patch00300.png,31.2843,48.3778,0.9335,30.2596,61.2523,0.9241
agricultural_0012_patch00301.png,30.881,53.0863,0.9408,29.9026,66.4996,0.9314
agricultural_0012_patch00302.png,30.0596,64.1385,0.94,29.2036,78.1128,0.931
agricultural_0012_patch00303.png,29.7667,68.6134,0.9373,28.948,82.847,0.9286
agricultural_0012_patch00304.png,30.0708,63.9735,0.9368,29.4108,74.474,0.9287
agricultural_0012_patch00305.png,31.7043,43.9186,0.9299,30.9498,52.2511,0.9229
agricultural_0012_patch00306.png,31.1372,50.0454,0.9335,30.4064,59.216,0.9263
